#energy mass_cut time_inj mass_inj cc cc_init
1.03709653E+00 1.66390402E+00 5.75676487E-01 1.56652507E-02 2.26198175E-05 1.70224389E-06
7.63597818E-01 1.05042788E+00 1.16345034E-01 4.86737246E-02 1.25258030E-05 1.72344642E-06
2.28463721E+00 1.82376594E+00 1.13990877E-02 3.90615147E-01 9.56174159E-06 1.66677973E-06
8.50250574E-01 1.51891474E+00 8.22617717E-01 1.51240573E-01 3.05904978E-05 1.72172005E-06
4.05397686E+00 1.71963226E+00 3.33240706E-03 2.07430760E-02 8.79280742E-06 1.69111071E-06
1.03187297E+00 1.04357796E+00 6.33143184E-01 1.51749095E-01 3.04476998E-05 1.72218458E-06
1.02759227E+00 1.62203236E+00 6.34531490E-02 7.54410420E-02 1.15235679E-05 1.71070131E-06
3.61266514E+00 1.83989145E+00 2.51332286E-02 2.96036186E-02 7.45178305E-06 1.66670025E-06
1.46593115E+00 1.76226332E+00 7.48470925E-03 1.15051866E-02 8.50524397E-06 1.68257229E-06
8.00526538E-01 1.18437290E+00 1.10241226E-01 2.72622456E-02 1.19556266E-05 1.72348471E-06
6.33423903E-01 1.16511587E+00 1.21158374E-01 6.58579939E-02 1.46728112E-05 1.72328436E-06
3.66416254E+00 1.20515316E+00 6.13533654E-03 4.74602609E-01 1.23878134E-05 1.71837007E-06
1.17000441E+00 1.89752791E+00 7.26095565E-02 1.40017658E-01 3.68294558E-06 1.65571048E-06
2.37111230E+00 1.95447002E+00 1.71624043E-01 2.86151285E-02 3.96891343E-06 1.64402971E-06
4.13313377E+00 1.94108712E+00 2.99754176E-03 3.06126937E-01 7.46689544E-06 1.64630969E-06
1.43353457E+00 1.37672186E+00 6.24862852E-02 2.80750570E-02 1.04873173E-05 1.72348678E-06
7.68905263E-01 1.93306779E+00 7.88009510E-01 3.39500745E-01 2.56818428E-06 1.63574830E-06
1.19118824E+00 1.46539004E+00 1.18865795E-03 2.76938770E-01 1.09629129E-05 1.70743979E-06
2.03819119E+00 1.91281764E+00 1.40930224E-03 1.39338301E-02 6.34053714E-06 1.65206356E-06
9.39191833E-01 1.86069723E+00 1.79964213E-02 3.21792052E-02 8.82454091E-06 1.66271143E-06
1.05310506E+00 1.82156824E+00 1.33221524E-03 2.13700442E-01 9.56773185E-06 1.66748880E-06
6.57916195E-01 1.29204599E+00 3.88490093E-01 1.32816434E-01 2.87258055E-05 1.71979674E-06
1.68955184E+00 1.34623794E+00 3.74442059E-03 5.19326377E-02 9.67553974E-06 1.72346445E-06
1.08860800E+00 1.59471840E+00 1.52343552E-03 7.83198463E-02 1.08257427E-05 1.71634342E-06
2.07534078E+00 1.49642917E+00 2.12844866E-03 5.06332617E-02 1.00207166E-05 1.72347520E-06
1.42565131E+00 1.05629023E+00 2.27323575E-03 3.61315563E-01 1.17544548E-05 1.70276547E-06
6.05280509E-01 1.52114092E+00 2.01157341E-02 1.12888250E-01 1.20034520E-05 1.72050485E-06
1.32471972E+00 1.06466332E+00 2.51595501E-03 4.17307793E-01 1.34828097E-05 1.69291513E-06
3.68418338E+00 1.93792580E+00 8.25203287E-01 2.35862644E-02 2.78647170E-06 1.64670930E-06
1.68222829E+00 1.08035295E+00 2.53408926E-02 1.78202309E-02 9.89692776E-06 1.72348809E-06
3.72229691E+00 1.63557101E+00 1.17794691E-02 4.38273980E-01 1.22432309E-05 1.70385740E-06
9.94693896E-01 1.19194434E+00 3.27171324E-01 3.21452571E-02 2.93980160E-05 1.72348610E-06
3.54389728E+00 1.63933412E+00 5.17321691E-03 1.30973158E-01 1.13660679E-05 1.70724378E-06
2.27722711E+00 1.91812138E+00 1.36149251E-01 2.58226188E-02 4.57044466E-06 1.65072863E-06
7.61953195E-01 1.78908028E+00 5.40316066E-01 8.48896266E-02 1.18557849E-05 1.67796587E-06
3.48724934E+00 1.30217193E+00 7.31528543E-01 1.25696674E-02 3.07963043E-05 1.72348837E-06
1.10521240E+00 1.26195304E+00 1.77503263E-03 1.81088708E-01 1.61622867E-05 1.71844293E-06
1.89367623E+00 1.94079571E+00 2.28106027E-01 4.05819822E-01 3.19333780E-06 1.64385629E-06
3.16375347E+00 1.30246951E+00 2.71549041E-01 7.91630883E-02 3.32635979E-05 1.72348483E-06
1.38421712E+00 1.42468127E+00 6.16296551E-02 2.48659378E-02 1.05083386E-05 1.72348729E-06
2.99389870E+00 1.91802369E+00 4.65074819E-01 1.43700547E-02 2.72034082E-06 1.65072866E-06
7.28726066E-01 1.97445943E+00 2.93924815E-03 3.91550383E-01 2.42463390E-06 1.62322713E-06
